title,parent_task,max_xp
C2_SimpleBashUtils,,250
C3_s21_StringPlus,C2_SimpleBashUtils,500
C4_s21_Math,C3_s21_StringPlus,300
C5_s21_Decimal,C4_s21_Math,350
C6_s21_Matrix,C5_s21_Decimal,200
C7_SmartCalc_v1.0,C6_s21_Matrix,500
C8_3DViewer_v1.0,C7_SmartCalc_v1.0,750
CPP1_s21_MatrixPlus,C8_3DViewer_v1.0,300
CPP2_s21_Containers,CPP1_s21_MatrixPlus,350
CPP3_SmartCalc_v2.0,CPP2_s21_Containers,600
CPP4_3DViewer_v2.0,CPP3_SmartCalc_v2.0,750
DO1_Linux,C2_SimpleBashUtils,300
DO2_LinuxNetwork,DO1_Linux,250
DO3_LinuxMonitoring_v1.0,DO2_LinuxNetwork,350
DO4_LinuxMonitoring_v2.0,DO3_LinuxMonitoring_v1.0,350
DO5_SimpleDocker,DO3_LinuxMonitoring_v1.0,300
DO6_CICD,DO5_SimpleDocker,300